"station_id";"name";"lat";"lon";"last_reported";"num_bikes_available";"num_docks_available";"LedigeSykler";"LedigDock"
"455";"Sofienbergparken sør / Sofienberggata 17";59,922337;10,7617503;2020-03-19 19:08:26;4;8;"Vis ledige sykler";"Vis ledige låser"
"456";"Frognerstranda";59,9103558;10,7051061;2020-03-19 19:08:26;2;58;"Vis ledige sykler";"Vis ledige låser"
"457";"Trondheimsveien / Trondheimsveien 64";59,9230577;10,7717192;2020-03-19 19:08:26;1;9;"Vis ledige sykler";"Vis ledige låser"
"458";"Jenny Braatens Plass / Trondheimsveien 135";59,928349;10,77837;2020-03-19 19:08:26;5;9;"Vis ledige sykler";"Vis ledige låser"
"459";"Valkyrieplassen / Valkyriegata 1";59,9281319;10,71842;2020-03-19 19:08:26;1;11;"Vis ledige sykler";"Vis ledige låser"
"460";"Botanisk Hage sør / Jens Bjelkes gate 39B";59,9154176980244;10,7693302214264;2020-03-19 19:08:26;1;27;"Vis ledige sykler";"Vis ledige låser"
"461";"Vålerenga / Strømsveien 23D";59,908576;10,786856;2020-03-19 19:08:26;4;17;"Vis ledige sykler";"Vis ledige låser"
"462";"Stensparken / Sporveisgata";59,92714;10,730981;2020-03-19 19:08:26;11;4;"Vis ledige sykler";"Vis ledige låser"
"464";"Sukkerbiten / sukkerbiten";59,9058067663;10,7536565095793;2020-03-19 19:08:26;12;27;"Vis ledige sykler";"Vis ledige låser"
"465";"Bjørvika / Dronning Eufemias gate 8";59,909006;10,75618;2020-03-19 19:08:26;1;29;"Vis ledige sykler";"Vis ledige låser"
"466";"Ullevålsalléen";59,937913;10,73048;2020-03-19 19:08:26;0;15;"";"Vis ledige låser"
"468";"Skillebekk";59,9127934054554;10,7101030285703;2020-03-19 19:08:26;3;12;"Vis ledige sykler";"Vis ledige låser"
"469";"Studentparlamentet";59,920852;10,733357;2020-03-19 19:08:26;3;27;"Vis ledige sykler";"Vis ledige låser"
"470";"St. Hanshaugen park nord / Geitmyrsveien 35A";59,9297984537001;10,7435407659321;2020-03-19 19:08:26;0;14;"";"Vis ledige låser"
"471";"Marienlyst / Suhms Gate 46A";59,9324324985211;10,7217622944775;2020-03-19 19:08:26;0;12;"";"Vis ledige låser"
"472";"Arendalsgata / Arendalsgata / Sagene Kirke";59,9378;10,7541;2020-03-19 19:08:26;13;10;"Vis ledige sykler";"Vis ledige låser"
"473";"Majorstuveien";59,926697;10,716195;2020-03-19 19:08:26;0;9;"";"Vis ledige låser"
"474";"Blindern studentparkering";59,9408737335437;10,7207788515205;2020-03-19 19:08:26;7;35;"Vis ledige sykler";"Vis ledige låser"
"475";"Hausmanns bru";59,9146509;10,7598719;2020-03-19 19:08:26;4;19;"Vis ledige sykler";"Vis ledige låser"
"476";"Edvard Storms gate / Pilestredet Edvard Storms";59,919111;10,736179;2020-03-19 19:08:26;6;14;"Vis ledige sykler";"Vis ledige låser"
"477";"Møllergata / Møllergata 19";59,9153700397705;10,7484933871025;2020-03-19 19:08:26;7;20;"Vis ledige sykler";"Vis ledige låser"
"478";"Jernbanetorget / Fred Olsens gate 5";59,911901;10,749929;2020-03-19 19:08:26;11;3;"Vis ledige sykler";"Vis ledige låser"
"479";"Tjuvholmen";59,909467;10,722509;2020-03-19 19:08:26;1;29;"Vis ledige sykler";"Vis ledige låser"
"480";"Helga Helgesens plass";59,9121109;10,7661939;2020-03-19 19:08:26;5;19;"Vis ledige sykler";"Vis ledige låser"
"481";"Rådhusgata";59,910924;10,736215;2020-03-19 19:08:26;2;40;"Vis ledige sykler";"Vis ledige låser"
"482";"Nydalen / Gjerdrumsvei 6";59,952868;10,766483;2020-03-19 19:08:26;0;18;"";"Vis ledige låser"
"483";"Hausmanns gate / Hausmanns gate / Røde Kors";59,915451;10,758328;2020-03-19 19:08:26;2;19;"Vis ledige sykler";"Vis ledige låser"
"484";"Karenlyst allé / Karenlyst allé 9";59,92033;10,683814;2020-03-19 19:08:26;24;11;"Vis ledige sykler";"Vis ledige låser"
"485";"Sommerfrydhagen";59,911453;10,776072;2020-03-19 19:08:26;2;19;"Vis ledige sykler";"Vis ledige låser"
"486";"Det Teologiske fakultet / Blindernveien 2";59,935342;10,726472;2020-03-19 19:08:26;0;28;"";"Vis ledige låser"
"488";"Torshovparken vest / Per Kvibergs gate 18";59,93507;10,76915;2020-03-19 19:08:26;1;23;"Vis ledige sykler";"Vis ledige låser"
"489";"Torggata / Torggata 18";59,9159830927452;10,7515511907609;2020-03-19 19:08:26;12;18;"Vis ledige sykler";"Vis ledige låser"
"491";"Brugata / Brugata 17";59,913661094866;10,7572936484621;2020-03-19 19:08:26;9;9;"Vis ledige sykler";"Vis ledige låser"
"492";"Goethe Institut / Grønland 14";59,9131792;10,7607798;2020-03-19 19:08:26;2;10;"Vis ledige sykler";"Vis ledige låser"
"493";"Sofienbergparken nordvest / Helgesens Gate 26A";59,9243639;10,7615858;2020-03-19 19:08:26;3;27;"Vis ledige sykler";"Vis ledige låser"
"494";"Rådhusbrygge 4";59,9108469;10,7303766;2020-03-19 19:08:26;21;19;"Vis ledige sykler";"Vis ledige låser"
"495";"Vaterlandsparken";59,9135155285415;10,7573346705523;2020-03-19 19:08:26;14;27;"Vis ledige sykler";"Vis ledige låser"
"496";"Fysikkbygningen / Blindern Fysikkbygg parkering";59,937957367052;10,7194885294304;2020-03-19 19:08:26;2;43;"Vis ledige sykler";"Vis ledige låser"
"497";"Sirkustomta";59,919252;10,774712;2020-03-19 19:08:26;4;23;"Vis ledige sykler";"Vis ledige låser"
"498";"HasleLinje / Kavresvingen 3";59,9276340798144;10,7992493797623;2020-03-19 19:08:26;0;18;"";"Vis ledige låser"
"499";"Bjerregaards gate / Bjerregaards gate 52-32";59,925488;10,746058;2020-03-19 19:08:26;5;16;"Vis ledige sykler";"Vis ledige låser"
"500";"Anker Hotel / Storgata 57 Anker Hotell";59,9172794;10,7581553;2020-03-19 19:08:26;6;21;"Vis ledige sykler";"Vis ledige låser"
"501";"Krebs' gate / Vogstgate 60";59,935995;10,765413;2020-03-19 19:08:26;7;11;"Vis ledige sykler";"Vis ledige låser"
"502";"Ullevål sykehus / Kirkeveien 166 / Ullevål sykehus";59,9360307;10,7364516;2020-03-19 19:08:26;0;35;"";"Vis ledige låser"
"503";"Fagerheimgata / Fagerheimgata 8";59,9276058683772;10,7659846988113;2020-03-19 19:08:26;3;30;"Vis ledige sykler";"Vis ledige låser"
"505";"Marienlystparken / Marienlyst / Kirkeveien";59,93215;10,723478;2020-03-19 19:08:26;3;21;"Vis ledige sykler";"Vis ledige låser"
"506";"Botanisk Hage vest";59,9201281180405;10,7688754085636;2020-03-19 19:08:26;0;27;"";"Vis ledige låser"
"507";"Jens Bjelkes gate / Jens Bjelkes gate / Trondheimsveien";59,919179;10,764162;2020-03-19 19:08:26;2;12;"Vis ledige sykler";"Vis ledige låser"
"508";"Majorstuen T-bane / Majorstuen t-bane";59,929857242195;10,7145662367707;2020-03-19 19:08:26;0;18;"";"Vis ledige låser"
"509";"Kjeld Stubs gate / Kjeld Stubs gate 3";59,912711;10,735595;2020-03-19 19:08:26;5;7;"Vis ledige sykler";"Vis ledige låser"
"511";"Henrik Ibsens gate / Parkveien / Henrik Ibsens gate";59,915088;10,7222803;2020-03-19 19:08:26;1;23;"Vis ledige sykler";"Vis ledige låser"
"512";"Ensjø T-bane / Ensjøveien 22";59,9131891;10,7897605;2020-03-19 19:08:26;1;29;"Vis ledige sykler";"Vis ledige låser"
"513";"Bøkkerveien / Bøkkerveien 11 ved Cafe Nord";59,9273747;10,7960147;2020-03-19 19:08:26;0;15;"";"Vis ledige låser"
"514";"Sofienberggata / Trondheimsveien 37";59,9212063;10,7699892;2020-03-19 19:08:26;2;10;"Vis ledige sykler";"Vis ledige låser"
"516";"Finnmarksgata / Finnmarksgata 40";59,922839;10,775658;2020-03-19 19:08:26;5;10;"Vis ledige sykler";"Vis ledige låser"
"517";"Tåsenløkka / Uelands gate - Voldsløkka";59,9433939;10,7482848;2020-03-19 19:08:26;0;18;"";"Vis ledige låser"
"518";"Ullevålsveien / Ullevålsveien 47 - Schwenssens gate";59,9246852;10,7395045;2020-03-19 19:08:26;1;16;"Vis ledige sykler";"Vis ledige låser"
"519";"Thomas Heftyes plass / Bygdøy alle/Elisenbergveien";59,9185781433368;10,7038995300594;2020-03-19 19:08:26;3;21;"Vis ledige sykler";"Vis ledige låser"
"521";"Jess Carlsens gate";59,9186359;10,7523939;2020-03-19 19:08:26;4;11;"Vis ledige sykler";"Vis ledige låser"
"522";"Mandalls gate";59,9123469;10,7638147;2020-03-19 19:08:26;6;4;"Vis ledige sykler";"Vis ledige låser"
"523";"Tøyenbekken";59,9115945;10,7617736;2020-03-19 19:08:26;13;17;"Vis ledige sykler";"Vis ledige låser"
"524";"Volvat / Sørkedalsveien 33";59,9330870371029;10,7039679380287;2020-03-19 19:08:26;4;17;"Vis ledige sykler";"Vis ledige låser"
"525";"Myraløkka Øst / Arendalsgata 45";59,937205;10,7605813;2020-03-19 19:08:26;7;8;"Vis ledige sykler";"Vis ledige låser"
"526";"Lille Grensen / Lille Grensen - Akersgata 43";59,9138973;10,7423101;2020-03-19 19:08:26;13;2;"Vis ledige sykler";"Vis ledige låser"
"527";"Biskop Gunnerus' gate / Oslo City - Biskop Gunnerus gate";59,9123341;10,752292;2020-03-19 19:08:26;11;1;"Vis ledige sykler";"Vis ledige låser"
"528";"Nedre Slottsgate / Nedre Slottsgate 12";59,913245;10,743669;2020-03-19 19:08:26;0;15;"";"Vis ledige låser"
"529";"Friggfeltet / Slemdalsveien ved Frigg";59,9327726;10,7114661;2020-03-19 19:08:26;7;14;"Vis ledige sykler";"Vis ledige låser"
"530";"Holbergs Plass";59,9193095;10,7343051;2020-03-19 19:08:26;7;2;"Vis ledige sykler";"Vis ledige låser"
"531";"Monolittveien / Smestaddammen (Monolittveien/Hoffsveien)";59,935947;10,681138;2020-03-19 19:08:26;0;17;"";"Vis ledige låser"
"532";"Brynseng T-bane / Østensjøveien 47";59,9091842086581;10,8143143349877;2020-03-19 19:08:26;0;20;"";"Vis ledige låser"
"533";"Sørvest for Slottsparken / Henrik Ibsens gate 40";59,915262;10,7253157;2020-03-19 19:08:26;1;11;"Vis ledige sykler";"Vis ledige låser"
"534";"Filipstadveien / Filipstadveien El-bilparkering/busslomme";59,9102277;10,7208788;2020-03-19 19:08:26;14;25;"Vis ledige sykler";"Vis ledige låser"
"535";"Uranienborgveien / Uranienborgveien 3";59,9200421;10,726634;2020-03-19 19:08:26;1;26;"Vis ledige sykler";"Vis ledige låser"
"536";"Diakonhjemmet / Diakonveien 14";59,9363277;10,7054333;2020-03-19 19:08:26;1;14;"Vis ledige sykler";"Vis ledige låser"
"537";"St. Olavs gate / St.Olavs gate 21 - Pilestredet";59,9179676629428;10,7386288842648;2020-03-19 19:08:26;8;12;"Vis ledige sykler";"Vis ledige låser"
